,winner,rounds
785,player,1
786,player,2
787,dealer,1
788,player,2
789,player,1
790,player,1
791,dealer,1
792,player,3
793,dealer,1
794,player,2
795,dealer,1
796,player,1
797,player,2
798,player,2
799,player,2
800,player,3
801,player,1
802,player,2
803,dealer,1
804,player,2
805,dealer,1
806,player,2
807,player,1
808,player,1
809,dealer,3
810,player,2
811,dealer,1
812,player,2
813,dealer,1
814,dealer,1
815,player,2
816,dealer,1
817,player,1
818,player,2
819,dealer,1
820,dealer,1
821,player,1
822,player,1
823,player,1
824,dealer,3
825,player,2
826,dealer,1
827,player,1
828,player,2
829,player,1
830,player,1
831,player,1
832,player,2
833,dealer,1
834,player,2
835,player,2
836,dealer,1
837,player,2
838,player,2
839,player,3
840,dealer,1
841,dealer,1
842,dealer,3
843,player,2
844,dealer,1
845,player,1
846,player,2
847,player,2
848,player,2
849,player,3
850,player,3
851,dealer,1
852,player,2
853,dealer,1
854,player,2
855,player,2
856,player,1
857,dealer,3
858,dealer,1
859,dealer,1
860,player,1
861,dealer,1
862,player,2
863,dealer,3
864,player,2
865,dealer,1
866,dealer,1
867,dealer,1
868,dealer,1
869,dealer,1
870,player,2
871,player,2
872,dealer,1
873,player,2
874,player,2
875,player,2
876,player,2
877,player,1
878,player,2
879,player,2
880,dealer,1
881,player,1
882,player,1
883,player,1
884,player,1
885,player,2
886,player,1
887,player,1
888,player,1
889,player,2
890,dealer,1
891,player,1
892,player,2
893,player,2
894,player,1
895,dealer,1
896,dealer,1
897,player,1
898,player,3
899,player,2
900,dealer,1
901,dealer,1
902,player,2
903,dealer,1
904,player,2
905,player,2
906,player,2
907,player,2
908,player,1
909,dealer,1
910,player,2
911,player,2
912,player,1
913,dealer,1
914,player,1
915,dealer,1
916,player,2
917,dealer,1
918,dealer,3
919,player,2
920,dealer,3
921,player,1
922,dealer,1
923,player,2
924,player,2
925,dealer,1
926,player,2
927,player,1
928,player,1
929,player,2
930,player,2
931,player,3
932,player,1
933,player,2
934,dealer,1
935,player,2
936,player,2
937,player,1
938,player,1
939,player,2
940,player,3
941,dealer,1
942,player,2
943,dealer,1
944,dealer,1
945,player,2
946,dealer,1
947,player,1
948,player,1
949,player,2
950,dealer,1
951,player,1
952,player,2
953,player,2
954,player,2
955,player,2
956,player,1
957,dealer,3
958,dealer,1
959,dealer,1
960,dealer,1
961,player,2
962,player,2
963,player,1
964,player,2
965,dealer,3
966,dealer,1
967,player,2
968,player,1
969,player,2
970,player,1
971,player,2
972,dealer,1
973,dealer,1
974,dealer,1
975,dealer,1
976,dealer,1
977,dealer,1
978,player,3
979,player,1
980,player,2
981,dealer,1
982,player,2
983,player,1
984,player,3
985,dealer,1
986,player,1
987,player,1
988,dealer,1
989,dealer,1
990,player,2
991,player,1
992,player,2
993,dealer,1
994,player,2
995,player,2
996,dealer,1
997,dealer,3
998,player,1
999,dealer,1
