,winner,rounds
649,dealer,1
650,player,2
651,player,2
652,player,2
653,player,2
654,player,1
655,player,1
656,dealer,1
657,dealer,1
658,player,1
659,dealer,1
660,dealer,1
661,player,2
662,dealer,1
663,player,1
664,player,2
665,dealer,1
666,player,1
667,player,2
668,dealer,1
669,dealer,1
670,player,2
671,dealer,1
672,dealer,1
673,player,1
674,player,1
675,player,2
676,dealer,1
677,player,2
678,player,2
679,player,2
680,player,1
681,player,2
682,dealer,1
683,player,1
684,player,2
685,player,2
686,player,2
687,player,2
688,dealer,1
689,player,1
690,dealer,1
691,dealer,1
692,player,1
693,dealer,1
694,dealer,1
695,dealer,1
696,dealer,1
697,player,1
698,dealer,1
699,dealer,1
700,player,1
701,player,2
702,dealer,1
703,dealer,1
704,player,1
705,dealer,1
706,player,1
707,dealer,1
708,player,2
709,player,2
710,player,1
711,dealer,1
712,player,1
713,player,1
714,player,1
715,player,1
716,dealer,1
717,dealer,1
718,player,1
719,dealer,1
720,player,2
721,dealer,1
722,player,1
723,player,1
724,dealer,1
725,player,1
726,dealer,1
727,dealer,1
728,player,1
729,player,1
730,player,1
731,player,2
732,player,1
733,player,2
734,player,1
735,player,1
736,dealer,1
737,player,2
738,player,1
739,player,1
740,player,2
741,player,2
742,player,2
743,player,2
744,player,2
745,player,2
746,player,1
747,dealer,1
748,player,2
749,player,2
750,player,1
751,dealer,1
752,player,2
753,player,1
754,player,1
755,player,2
756,player,2
757,player,2
758,player,1
759,player,2
760,dealer,1
761,player,2
762,player,2
763,player,2
764,player,2
765,player,2
766,player,2
767,player,2
768,dealer,1
769,dealer,1
770,player,1
771,player,1
772,dealer,1
773,dealer,1
774,player,2
775,player,1
776,dealer,1
777,player,2
778,player,1
779,player,2
780,player,2
781,player,2
782,player,1
783,player,1
784,player,1
785,dealer,1
786,player,2
787,player,2
788,player,1
789,dealer,1
790,player,1
791,dealer,1
792,player,1
793,dealer,1
794,dealer,1
795,player,1
796,player,1
797,dealer,1
798,dealer,1
799,player,1
800,player,2
801,dealer,1
802,player,2
803,dealer,1
804,dealer,1
805,player,2
806,player,1
807,player,2
808,player,2
809,dealer,1
810,player,1
811,player,1
812,player,1
813,player,1
814,player,2
815,player,2
816,player,2
817,dealer,1
818,player,1
819,dealer,1
820,player,1
821,player,1
822,dealer,1
823,dealer,1
824,player,2
825,player,1
826,player,1
827,dealer,1
828,dealer,1
829,player,1
830,player,1
831,player,1
832,dealer,1
833,dealer,1
834,player,1
835,dealer,1
836,player,2
837,dealer,1
838,dealer,1
839,dealer,1
840,player,2
841,player,1
842,player,1
843,player,2
844,player,1
845,player,1
846,player,2
847,player,2
848,dealer,1
849,dealer,1
850,player,1
851,player,2
852,player,1
853,player,2
854,player,2
855,dealer,1
856,dealer,1
857,dealer,1
858,player,1
859,player,2
860,player,1
861,player,1
862,player,1
863,player,1
864,player,2
865,player,2
866,player,2
867,player,1
868,player,2
869,player,2
870,dealer,1
871,dealer,1
872,dealer,1
873,player,2
874,dealer,1
875,player,2
876,player,1
877,player,2
878,player,1
879,player,2
880,player,1
881,player,1
882,player,2
883,player,2
884,player,1
885,dealer,1
886,player,1
887,player,1
888,player,1
889,player,1
890,player,1
891,player,2
892,player,2
893,player,1
894,player,1
895,player,2
896,player,2
897,dealer,1
898,player,2
899,player,2
900,dealer,1
901,player,1
902,player,2
903,player,1
904,player,1
905,player,2
906,dealer,1
907,player,1
908,player,2
909,dealer,1
910,player,2
911,player,2
912,player,2
913,player,2
914,player,1
915,player,2
916,player,1
917,dealer,1
918,dealer,1
919,player,2
920,player,2
921,player,1
922,dealer,1
923,player,1
924,player,2
925,dealer,1
926,player,1
927,player,2
928,player,1
929,player,1
930,player,1
931,player,2
932,player,2
933,dealer,1
934,dealer,1
935,player,2
936,player,2
937,player,2
938,dealer,1
939,dealer,1
940,dealer,1
941,player,1
942,player,2
943,player,2
944,player,1
945,player,2
946,player,1
947,dealer,1
948,player,1
949,player,1
950,dealer,1
951,player,1
952,player,1
953,player,2
954,player,1
955,dealer,1
956,dealer,1
957,player,2
958,dealer,1
959,dealer,1
960,dealer,1
961,player,2
962,dealer,1
963,player,1
964,player,1
965,player,1
966,player,2
967,dealer,1
968,dealer,1
969,dealer,1
970,player,2
971,player,2
972,dealer,1
973,player,2
974,dealer,1
975,player,2
976,player,1
977,dealer,1
978,player,1
979,player,2
980,player,1
981,dealer,1
982,player,2
983,player,1
984,player,2
985,dealer,1
986,player,1
987,dealer,1
988,player,1
989,player,2
990,player,1
991,dealer,1
992,player,1
993,dealer,1
994,dealer,1
995,player,1
996,player,2
997,player,1
998,dealer,1
999,player,1
