,winner,rounds
717,player,2
718,player,2
719,player,2
720,player,2
721,player,3
722,player,1
723,player,2
724,player,1
725,player,2
726,player,2
727,player,2
728,player,1
729,player,2
730,player,2
731,player,2
732,player,2
733,player,2
734,player,2
735,player,2
736,player,1
737,player,1
738,player,2
739,player,1
740,player,2
741,player,2
742,player,1
743,player,1
744,player,3
745,player,2
746,player,2
747,player,1
748,player,2
749,player,2
750,player,2
751,player,3
752,player,2
753,player,2
754,player,3
755,player,1
756,player,2
757,player,2
758,player,2
759,player,2
760,player,3
761,player,3
762,player,2
763,player,2
764,player,1
765,player,2
766,player,2
767,player,1
768,player,2
769,player,2
770,player,1
771,player,1
772,player,2
773,player,3
774,player,1
775,player,3
776,player,3
777,player,1
778,player,2
779,player,1
780,player,2
781,player,2
782,player,3
783,player,2
784,player,2
785,player,2
786,player,3
787,player,2
788,player,1
789,player,1
790,player,2
791,player,2
792,player,1
793,player,1
794,player,2
795,player,3
796,player,2
797,player,3
798,player,3
799,player,2
800,player,3
801,player,2
802,player,1
803,player,1
804,player,2
805,player,2
806,player,1
807,player,3
808,player,2
809,player,2
810,player,2
811,player,2
812,player,1
813,player,2
814,player,2
815,player,2
816,player,3
817,player,1
818,player,2
819,player,1
820,player,3
821,player,1
822,player,2
823,player,1
824,player,1
825,player,2
826,player,2
827,player,2
828,player,1
829,player,2
830,player,1
831,player,1
832,player,1
833,player,2
834,player,2
835,player,1
836,player,2
837,player,2
838,player,2
839,player,2
840,player,1
841,player,1
842,player,3
843,player,2
844,player,3
845,player,3
846,player,2
847,player,2
848,player,1
849,player,1
850,player,3
851,player,2
852,player,3
853,player,2
854,player,3
855,player,3
856,player,1
857,player,2
858,player,1
859,player,3
860,player,1
861,player,1
862,player,2
863,player,2
864,player,2
865,player,2
866,player,2
867,player,1
868,player,1
869,player,2
870,player,3
871,player,1
872,player,1
873,player,1
874,player,1
875,player,2
876,player,1
877,player,1
878,player,1
879,player,2
880,player,2
881,player,1
882,player,2
883,player,2
884,player,2
885,player,3
886,player,1
887,player,1
888,player,2
889,player,1
890,player,1
891,player,2
892,player,3
893,player,2
894,player,1
895,player,2
896,player,2
897,player,1
898,player,2
899,player,2
900,player,2
901,player,1
902,player,3
903,player,2
904,player,3
905,player,1
906,player,1
907,player,1
908,player,2
909,player,2
910,player,2
911,player,2
912,player,3
913,player,3
914,player,2
915,player,2
916,player,3
917,player,1
918,player,3
919,player,1
920,player,2
921,player,2
922,player,2
923,player,2
924,player,2
925,player,1
926,player,2
927,player,3
928,player,2
929,player,1
930,player,1
931,player,3
932,player,2
933,player,3
934,player,1
935,player,2
936,player,1
937,player,2
938,player,2
939,player,2
940,player,1
941,player,1
942,player,3
943,player,2
944,player,2
945,player,2
946,player,3
947,player,2
948,player,1
949,player,3
950,player,1
951,player,1
952,player,3
953,player,2
954,player,1
955,player,2
956,player,1
957,player,1
958,player,2
959,player,2
960,player,2
961,player,1
962,player,1
963,player,2
964,player,2
965,player,3
966,player,2
967,player,3
968,player,2
969,player,1
970,player,2
971,player,1
972,player,2
973,player,3
974,player,3
975,player,2
976,player,2
977,player,2
978,player,2
979,player,2
980,player,3
981,player,2
982,player,2
983,player,1
984,player,3
985,player,2
986,player,1
987,player,3
988,player,1
989,player,2
990,player,2
991,player,2
992,player,2
993,player,2
994,player,2
995,player,2
996,player,2
997,player,2
998,player,1
999,player,2
